,niv1,niv2,ids_niv1,ids_niv2,val,niv0
46.0,Station biologique de Roscoff,,1909.0,,1,Data_InDoRes
47.0,Laboratoire de biologie intégrative des modèles marins,,1910.0,,1,Data_InDoRes
48.0,ECOBIO UMR 6553 Ecosystèmes Biodiversité Evolution,,2082.0,,1,Data_InDoRes
49.0,Pelagis,,2087.0,,1,Data_InDoRes
50.0,Xper3,,2259.0,,1,Data_InDoRes
51.0,Fédération Île-de-France de Recherche sur l'Environnement (FIRE),,2284.0,,1,Data_InDoRes
52.0,"Institut de Systématique, Evolution, Biodiversité (ISYEB)",,2285.0,,1,Data_InDoRes
53.0,Centre de recherche en écologie expérimentale et prédictive (CEREEP Ecotron IDF),,2314.0,,1,Data_InDoRes
54.0,Littoral - Environnement - Télédétection - Géomatique (LETG),ANR ARICO,2315.0,2331,1,Data_InDoRes
55.0,Publications scientifiques du Muséum national d'Histoire naturelle,Geodiversitas,2615.0,2719,1,Data_InDoRes
56.0,"Écologie, systématique et évolution ",,2718.0,,1,Data_InDoRes
57.0,Centre d'Etudes Biologiques de Chizé (CEBC),,2868.0,,1,Data_InDoRes
58.0,UMR Eco-anthropologie,,3460.0,,1,Data_InDoRes
59.0,MECADEV (Mécanismes adaptatifs & Evolution),,4082.0,,1,Data_InDoRes
60.0,Centre d'Ecologie et des Sciences de la Conservation (CESCO),,4102.0,,1,Data_InDoRes
61.0,LIttoral ENvironnement et Sociétés (LIENSs),,4996.0,,1,Data_InDoRes
62.0,AnaEE France,,5050.0,,1,Data_InDoRes
63.0,Biogéosciences,,5056.0,,1,Data_InDoRes
64.0,PACEA,Projects,5081.0,5082,1,Data_InDoRes
65.0,Centre de Recherche sur la Conservation,Documents graphiques,5099.0,5146,1,Data_InDoRes
66.0,Centre de Recherche sur la Conservation, Projets,5099.0, 5150,1,Data_InDoRes
67.0,Centre de Recherche sur la Biodiversité et l’Environnement (CRBE),,5151.0,,1,Data_InDoRes
68.0,UMR Écologie et Dynamique des Systèmes Anthropisés (EDYSAN),IMPRINT (projet ANR),5917.0,5923,1,Data_InDoRes
