"keywordType-place.langfre",createDate,location
"-","Nov 16, 2023 @ 09:50:30.821","{
  ""coordinates"": [
    11.075,
    46.575
  ],
  ""type"": ""Point""
}"
"-","Nov 16, 2023 @ 09:23:50.355","-"
"-","Nov 16, 2023 @ 09:08:15.270","-"
"-","Nov 15, 2023 @ 17:10:27.978","{
  ""coordinates"": [
    5.35,
    45.545
  ],
  ""type"": ""Point""
}"
"-","Nov 15, 2023 @ 16:52:27.488","-"
"-","Nov 15, 2023 @ 16:31:27.691","{
  ""coordinates"": [
    23.75,
    0
  ],
  ""type"": ""Point""
}"
"-","Nov 15, 2023 @ 16:15:10.646","{
  ""coordinates"": [
    16.25,
    0.42499999999999716
  ],
  ""type"": ""Point""
}"
"-","Nov 15, 2023 @ 16:04:45.825","{
  ""coordinates"": [
    -2.969999999999999,
    14.860000000000001
  ],
  ""type"": ""Point""
}"
"-","Nov 15, 2023 @ 15:43:30.710","{
  ""coordinates"": [
    -2.969999999999999,
    14.860000000000001
  ],
  ""type"": ""Point""
}"
"-","Nov 15, 2023 @ 15:10:32.401","{
  ""coordinates"": [
    -2.969999999999999,
    14.860000000000001
  ],
  ""type"": ""Point""
}"
"France, La Réunion","Oct 19, 2023 @ 11:03:26.000","{
  ""coordinates"": [
    55.2217,
    -21.081
  ],
  ""type"": ""Point""
}"
"Rhône, French Rhône River","Sep 21, 2023 @ 15:43:42.319","{
  ""coordinates"": [
    5.137499999999999,
    44.730999999999995
  ],
  ""type"": ""Point""
}"
Vicdessos,"Sep 18, 2023 @ 14:13:41.074","{
  ""coordinates"": [
    1.435,
    42.735
  ],
  ""type"": ""Point""
}"
"-","Sep 14, 2023 @ 14:23:42.595","{
  ""coordinates"": [
    7.71,
    48.519999999999996
  ],
  ""type"": ""Point""
}"
"-","Aug 31, 2023 @ 00:00:00.000","-"
"-","Aug 28, 2023 @ 14:29:15.000","{
  ""coordinates"": [
    -1.649975,
    48.1134505
  ],
  ""type"": ""Point""
}"
"Continents, Guadeloupe, Martinique","Aug 24, 2023 @ 10:37:34.000","{
  ""coordinates"": [
    -81.87215,
    20.577350000000003
  ],
  ""type"": ""Point""
}"
"-","Aug 23, 2023 @ 08:35:11.000","{
  ""coordinates"": [
    1.505675,
    47.64178750000001
  ],
  ""type"": ""Point""
}"
"-","Aug 23, 2023 @ 07:57:50.000","{
  ""coordinates"": [
    1.6749064999999999,
    47.672140999999996
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Miribel-Jonage à Donzère-Mondragon","Aug 17, 2023 @ 16:21:32.535","{
  ""coordinates"": [
    4.949999999999999,
    45.05
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Miribel-Jonage à Donzère-Mondragon","Aug 17, 2023 @ 16:21:11.830","{
  ""coordinates"": [
    4.949999999999999,
    45.05
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Arles","Aug 17, 2023 @ 16:19:18.169","{
  ""coordinates"": [
    4.6259305,
    43.679289499999996
  ],
  ""type"": ""Point""
}"
"Barrages, OHM VR, France","Aug 17, 2023 @ 16:18:49.254","{
  ""coordinates"": [
    1.8242189999999998,
    46.9332955
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Péage-de-Roussillon","Aug 17, 2023 @ 16:18:08.243","{
  ""coordinates"": [
    4.7780225000000005,
    45.337406
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, OHM VR, Cours du Rhône français","Aug 10, 2023 @ 14:26:40.603","{
  ""coordinates"": [
    5.13785,
    44.7295
  ],
  ""type"": ""Point""
}"
"-","Jul 25, 2023 @ 13:10:53.290","{
  ""coordinates"": [
    1.433,
    42.73637
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:25:00.000","{
  ""coordinates"": [
    3.7212804999999998,
    43.430684
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:24:53.000","-"
"-","Jul 18, 2023 @ 17:24:48.000","-"
"-","Jul 18, 2023 @ 17:24:44.000","{
  ""coordinates"": [
    38.8740765,
    6.695404499999999
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:24:38.000","-"
"-","Jul 18, 2023 @ 17:24:34.000","{
  ""coordinates"": [
    3.947672,
    43.4580995
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:24:28.000","{
  ""coordinates"": [
    -17.341982,
    16.1655545
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:24:22.000","-"
"-","Jul 18, 2023 @ 17:24:17.000","{
  ""coordinates"": [
    -20.213210999999994,
    11.335737499999999
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:24:11.000","{
  ""coordinates"": [
    40.22845100000001,
    8.1648715
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:24:05.000","{
  ""coordinates"": [
    3.5244600000000004,
    43.62142
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:23:59.000","{
  ""coordinates"": [
    5.7031,
    43.4586755
  ],
  ""type"": ""Point""
}"
"-","Jul 18, 2023 @ 17:23:53.000","{
  ""coordinates"": [
    3.320238,
    43.7950135
  ],
  ""type"": ""Point""
}"
