,uuid,nb_champs_renseignés
117,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-15-07,17.0
118,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-15-04,16.0
119,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-31-02,17.0
120,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-19,16.0
121,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-13,17.0
122,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-15,17.0
123,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-09-03,17.0
124,oai:search-data.ubfc.fr:FR-18008901306731-2021-04-22-02,17.0
125,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-10,16.0
126,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-09-04,17.0
127,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-12,17.0
128,oai:search-data.ubfc.fr:FR-18008901306731-2018-12-03,17.0
129,oai:search-data.ubfc.fr:FR-18008901306731-2021-01-26,17.0
130,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-09-07,17.0
131,oai:search-data.ubfc.fr:FR-18008901306731-2017-10-17-02,17.0
132,oai:search-data.ubfc.fr:FR-18008901306731-2016-02-15,17.0
133,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-09-05,17.0
134,oai:search-data.ubfc.fr:FR-18008901306731-2017-09-11,17.0
135,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-09-06,17.0
136,oai:search-data.ubfc.fr:FR-18008901306731-2021-07-16,17.0
137,oai:search-data.ubfc.fr:FR-18008901306731-2019-05-09,17.0
138,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-03,17.0
139,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-04,17.0
140,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-05,17.0
141,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-06,17.0
142,oai:search-data.ubfc.fr:FR-18008901306731-2018-05-16,17.0
143,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-02,17.0
144,oai:search-data.ubfc.fr:FR-18008901306731-2016-02-01,16.0
145,oai:search-data.ubfc.fr:FR-18008901306731-2018-10-30-03,17.0
146,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-25,17.0
147,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-26,17.0
148,oai:search-data.ubfc.fr:FR-18008901306731-2018-10-30-02,17.0
149,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-13-02,17.0
150,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-20,17.0
151,oai:search-data.ubfc.fr:FR-18008901306731-2016-02-09,17.0
152,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-23,16.0
153,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-20-03,16.0
154,oai:search-data.ubfc.fr:FR-18008901306731-2017-12-05,17.0
155,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-20-06,17.0
156,oai:search-data.ubfc.fr:FR-18008901306731-2022-03-30,17.0
157,oai:search-data.ubfc.fr:FR-18008901306731-2017-01-20-02,16.0
158,oai:search-data.ubfc.fr:FR-18008901306731-2019-05-10,17.0
159,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-07-07,17.0
160,oai:search-data.ubfc.fr:FR-13002091000019-2023-03-07-02,17.0
161,oai:search-data.ubfc.fr:FR-13002091000019-2023-03-07-03,17.0
162,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-07,17.0
163,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-10-09,16.0
164,oai:search-data.ubfc.fr:FR-13002091000019-2022-09-02,15.0
165,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-07-02,17.0
166,oai:search-data.ubfc.fr:FR-18008901306731-2017-03-14,17.0
167,oai:search-data.ubfc.fr:FR-18008901306731-2016-01-25,15.0
168,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-07-06,17.0
169,oai:search-data.ubfc.fr:FR-18008901306731-2017-03-10,17.0
170,oai:search-data.ubfc.fr:FR-18008901306731-2022-04-01,17.0
171,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-07-05,17.0
