,Identifiant,Groupe,IN,Mention,Groupe_et_Mention
972,4850372f-5fd6-47ed-9246-1794c4d0e243,zaar,True,ZAAr,zaar
973,48509043-d0ab-4b34-b673-b5698a0cf430,Aucun groupe,True,Aucune mention,pas d'infos
974,48633084-6dc8-4d36-8034-47567e1dfab2,Aucun groupe,True,Aucune mention,pas d'infos
975,4866032d-2e64-411e-bd89-4e79fc5cb2ec,zaar,True,ZAAr,zaar
976,487152a8-4e4e-4ea3-82e5-53c2c6cb3a0d,zabr,True,Aucune mention,zabr
977,4880a5a8-9bb8-4bf1-889e-360f3c749205,Aucun groupe,True,Aucune mention,pas d'infos
978,489ce781-6205-4bea-a9c6-c53590430732,zas,True,Aucune mention,zas
979,48a99930-2421-4dd5-b04e-664f6583c147,Aucun groupe,True,Aucune mention,pas d'infos
980,48b5fb41-d775-4d10-a45a-a6f06b05e622,zabr,True,Aucune mention,zabr
981,48ba49dc-c631-493b-9e14-a4dab5143f01,zaar,True,ZAAr,zaar
982,48beef77-ba05-4311-bede-2806cd9a2c66,OHM Pyrénées - haut Vicdessos,True,Aucune mention,OHM Pyrénées - haut Vicdessos
983,48e425ce-c1d8-4823-a0c2-a26f57933d72,zabr,True,Aucune mention,zabr
984,48f96fd4-f9f3-4b3e-a2ea-b208ee2677ff,zabr,True,Aucune mention,zabr
985,48fa0a1b-53fa-4798-931e-a898a18efb63,OHMi Téssékéré,True,Aucune mention,OHMi Téssékéré
986,4902da10-4d2c-4b4b-bc39-9e59003bc6ef,zabr,True,Aucune mention,zabr
987,49082fa5-86df-48db-8e96-fe1020fac784,Aucun groupe,True,Aucune mention,pas d'infos
988,49184031-eb3b-470f-8f70-c9d926989149,Aucun groupe,True,ZABRI,ZABRI
989,4922bb5e-f907-450b-8871-c5a1133f2c21,zal,True,Aucune mention,zal
990,492e2687-1adf-4c17-8460-a624517f7a1e,InDoRES,True,Aucune mention,InDoRES
991,493497e0-2332-4cdb-8d0f-22536d8bd790,zaar,True,ZAAr,zaar
992,493a9c6b-25f8-408a-8c7b-58d29ef4c5aa,zaa,True,ZAA,zaa
993,49653dfb-e747-4ac6-a95d-ca77d4d59494,OHMi Téssékéré,True,Aucune mention,OHMi Téssékéré
994,496c8f71-0af1-43c2-a707-d5011285e7a2,Aucun groupe,True,Aucune mention,pas d'infos
995,4995531d-3ac5-48d6-8f7a-d15f64f7c12d,zabr,True,Aucune mention,zabr
996,499be9f6-b888-4196-82a7-f483c0b953f8,zabr,True,Aucune mention,zabr
997,49b2c0bf-d8cc-464b-a855-7470de095b6f,Aucun groupe,True,Aucune mention,pas d'infos
998,49ba5401-9a13-4ce6-9c1d-4c7193de1093,zaar,True,ZAAr,zaar
999,49ccbc8c-266d-4fc6-ae07-56f6f80c0a73,Aucun groupe,True,Aucune mention,pas d'infos
1000,49dad791-18bb-4451-a62a-83f6c3a36e7a,Aucun groupe,True,Aucune mention,pas d'infos
1001,49db137f-ac5c-4af5-9975-aaa69b0587d1,Aucun groupe,True,Aucune mention,pas d'infos
1002,4a00ab72-92f9-41bf-9c35-e189a46b7994,DRIIHM,True,OHM Littoral Caraïbe,DRIIHM
1003,4a01b8ab-07b7-4e68-ae18-673f393573f4,zaar,True,ZAAr,zaar
1004,4a0b480b-a5ad-4d0e-9a82-84767e6b22c7,zabr,True,Aucune mention,zabr
1005,4a18c98e-49ec-4dc0-8e46-b8eb390a4a9d,DRIIHM,True,OHM Littoral Caraïbe,DRIIHM
1006,4a1e45ea-89c1-4e10-88dc-b12ee9506400,Aucun groupe,True,Aucune mention,pas d'infos
1007,4a2ac920-d6aa-418f-bc5b-768074d68fbd,DRIIHM,True,OHM Littoral Caraïbe,DRIIHM
1008,4a40ec8c-cc54-41d8-9099-528d292426ae,zabr,True,Aucune mention,zabr
1009,4a64caba-a374-45ca-9153-43f8abd53d6c,zaar,True,ZAAr,zaar
1010,4a67138d-b80c-465a-a0a7-e744a9ed2b20,Aucun groupe,True,Aucune mention,pas d'infos
1011,4a7d863c-f3ce-4806-ac7c-77f1db57cec3,zabri,True,ZABRI,zabri
1012,4a7fe54e-555e-4c99-992a-32ac5b3d428c,Aucun groupe,True,ZABRI,ZABRI
1013,4a8e2da5-ac63-40c4-a4cb-d2bbe2d322ad,zaar,True,ZAAr,zaar
1014,4a93c8b0-23b7-41ac-8d1f-1a09b1f96318,Aucun groupe,True,Aucune mention,pas d'infos
1015,4ab0ef7d-e757-48d8-aa29-f4566b73de18,Aucun groupe,True,Aucune mention,pas d'infos
1016,4ab261ea-9902-43e2-bfb9-6c19c2b803cc,Aucun groupe,True,ZABRI,ZABRI
1017,4ab5eddb-6964-44aa-bfd6-85dfdbd4c682,Aucun groupe,True,Aucune mention,pas d'infos
1018,4ab8f943-da33-499f-b818-f1fc755299de,Aucun groupe,True,Aucune mention,pas d'infos
1019,4abf2493-6893-4a97-98ae-a543d4129d8e,zabr,True,Aucune mention,zabr
1020,4acdd975-fb18-472b-8fdf-b24c0308e3de,Aucun groupe,True,Aucune mention,pas d'infos
1021,4acfaddc-979e-487f-b49b-f939cca64948,Aucun groupe,True,Aucune mention,pas d'infos
1022,4ad6a1e1-c713-428b-95c9-2addc43870de,OHM Littoral méditerranéen,True,Aucune mention,OHM Littoral méditerranéen
1023,4ae57d67-f2a8-44e7-8b3a-1e58f8cd2a68,Aucun groupe,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
1024,4aefc475-7b35-4790-9943-445ff5b2db8e,zabr,True,Aucune mention,zabr
1025,4afad36b-3d7b-4c70-bd5a-ecbec22f0a8d,Aucun groupe,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
1026,4aff3c6b-7703-43ab-8beb-a288bf5d715a,Aucun groupe,True,Aucune mention,pas d'infos
1027,4b0a3c4d-68d0-40be-b826-a5b10aaa6598,Aucun groupe,True,Aucune mention,pas d'infos
1028,4b17bd8c-09e7-497a-a79c-fbf1dfe37dd8,zaar,True,ZAAr,zaar
1029,4b317e7e-2d6c-4c1e-8a48-23c11f5c428d,zabr,True,Aucune mention,zabr
1030,4b3dd045-b782-4599-b48c-f00e208faebf,zabr,True,Jura,zabr
1031,4b4a3db7-7d56-4eab-9129-d3e233668028,Aucun groupe,True,Aucune mention,pas d'infos
1032,4b4bcfd3-7645-49bc-a4dd-388886d5e779,zas,True,Aucune mention,zas
1033,4b96271c-6303-4a14-99bb-f620a5abb3b7,zabr,True,Aucune mention,zabr
1034,4b9ef347-1d66-46c7-85cd-a8e7a1ee00f1,zaar,True,ZAAr,zaar
1035,4bc61ff8-6649-4565-b380-15121b0e815b,Aucun groupe,True,Aucune mention,pas d'infos
1036,4bd3260c-f7ea-42a0-92d1-db687975b231,Aucun groupe,True,Aucune mention,pas d'infos
1037,4bd4d25d-a6de-4b3d-ba04-30579cab0515,Aucun groupe,True,Aucune mention,pas d'infos
1038,4c09fe54-d698-4fe2-86bd-2d125e1e553c,DRIIHM,True,OHM Littoral Caraïbe,DRIIHM
1039,4c23cebf-bf13-4808-ad16-8c193cf61639,OHM Bassin Minier de Provence,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
1040,4c49054e-27f7-4a93-9bf5-075e6afca9ac,zas,True,Aucune mention,zas
1041,4c49cd1e-aff9-43cb-868d-f571ed6a35b5,Aucun groupe,True,Aucune mention,pas d'infos
1042,4c6c41a3-f160-47b0-be94-0b1cf1df6d17,Aucun groupe,True,Aucune mention,pas d'infos
1043,4c961d2a-4655-4b38-8816-f8b076866486,Aucun groupe,True,Aucune mention,pas d'infos
1044,4c9c050c-40ac-48e4-8f20-f7cd4b9ed6e1,Aucun groupe,True,Aucune mention,pas d'infos
1045,4ca3ae7d-0642-46f6-97ca-156548ded8fc,Aucun groupe,True,OHM Bassin Minier de Provence,OHM Bassin Minier de Provence
1046,4cca25f5-e157-4dc9-bd2f-6e50e8a4ed0d,zabr,True,Aucune mention,zabr
